Area,Mean,Min,Max,X,Y,Slice
0,103,103,103,4081,515.667,11
0,92,92,92,4111,510.333,12
0,73,73,73,4154.333,506.333,12
0,102,102,102,4043.667,506.333,12
0,82,82,82,4021,508.333,11
0,83,83,83,4004.333,507,14
0,92,92,92,4112.333,519.667,16
0,67,67,67,4006.333,527,18
0,96,96,96,3965.667,466.333,12
0,87,87,87,3953,465.667,17
0,66,66,66,3934.333,466.333,19
0,56,56,56,3905,453,15
0,53,53,53,3925,529,17
0,58,58,58,3889,530.333,15
0,63,63,63,3875,529,18
0,73,73,73,3887,454.333,20
0,58,58,58,3808.333,431.667,19
0,24,24,24,3746.333,427,20
0,18,18,18,3771,555.667,19
0,46,46,46,3789,547,14
0,110,110,110,3836.333,492.333,10
0,87,87,87,3753,487.667,10
0,49,49,49,3809.667,479.667,10
0,68,68,68,3602.333,421.667,14
0,78,78,78,3534.333,585.667,13
0,94,94,94,3686.333,577,18
0,82,82,82,3442.333,596.333,15
0,47,47,47,3351,601.667,18
0,50,50,50,3465,596.333,24
0,42,42,42,3533,589.667,25
0,39,39,39,3260.333,599,29
0,26,26,26,3205.667,605.667,28
0,45,45,45,3652.333,419.333,22
0,93,93,93,3495.667,411.333,21
0,84,84,84,3278.333,390,16
0,81,81,81,3193,380.667,18
0,42,42,42,3108.333,378,17
0,60,60,60,2909,376.667,14
0,25,25,25,2859.667,370,17
0,131,131,131,2785.667,366,18
0,82,82,82,2707.667,366,18
0,61,61,61,2603.667,367.333,18
0,51,51,51,2466,369.333,21
0,85,85,85,2316,377.333,16
0,38,38,38,2152,364,18
0,57,57,57,2102.667,360,18
0,40,40,40,1950.667,359.333,19
0,33,33,33,1795.333,370.667,19
0,33,33,33,1693.667,383.667,22
0,34,34,34,1557,385,20
0,22,22,22,1408.333,369,19
0,28,28,28,1177,394,28
0,11,11,11,1258,384,29
0,27,27,27,1263,380,19
0,30,30,30,1224,384,20
0,56,56,56,1065,395,17
0,92,92,92,984,394,18
0,17,17,17,1011,391,22
0,50,50,50,846,413,20
0,14,14,14,922,420,27
0,48,48,48,851,420,27
0,52,52,52,743,418,25
0,56,56,56,1818,624,17
0,25,25,25,1736,608,18
0,35,35,35,1626,615,17
0,15,15,15,1587,616,17
0,12,12,12,1408,612,18
0,6,6,6,1486,614,30
0,43,43,43,1543,619,28
0,34,34,34,1359,618,26
0,37,37,37,1288,621,26
0,49,49,49,1203,614,28
0,31,31,31,1145,612,18
0,52,52,52,1070,609,19
0,23,23,23,1003,610,21
0,56,56,56,932,604,19
0,40,40,40,808,592,20
0,27,27,27,722,588,26
0,68,68,68,648,573,25
0,67,67,67,622,578,20
0,84,84,84,570,584,18
0,71,71,71,937,507,13
0,48,48,48,780,504,16
0,44,44,44,751,493,16
0,28,28,28,726,503,16
0,93,93,93,720,487,17
0,88,88,88,690,497,17
0,33,33,33,653,498,17
0,68,68,68,620,425,22
0,58,58,58,653,427,26
0,55,55,55,549,424,25
0,49,49,49,522,505,14
0,97,97,97,360,500,16
0,56,56,56,410,579,19
0,75,75,75,408,464,19
0,80,80,80,368,433,20
0,94,94,94,386,431,24
0,112,112,112,349,439,23
0,87,87,87,288,577,19
0,105,105,105,281,560,21
0,73,73,73,627,583,26
0,39,39,39,571,519,20
0,47,47,47,552,544,20
0,53,53,53,533,550,20
0,41,41,41,480,551,20
0,45,45,45,512,556,20
0,58,58,58,473,519,21
0,68,68,68,489,577,24
0,54,54,54,479,568,24
0,96,96,96,478,552,26
0,46,46,46,504,557,26
0,70,70,70,473,482,22
0,56,56,56,554,454,22
0,41,41,41,544,442,22
0,64,64,64,533,439,22
0,38,38,38,506,432,22
0,70,70,70,460,477,19
0,37,37,37,455,493,18
0,51,51,51,455,507,18
0,73,73,73,490,431,23
0,60,60,60,458,446,23
0,39,39,39,450,470,23
0,88,88,88,492,443,26
0,64,64,64,397,486,18
0,50,50,50,390,471,22
0,80,80,80,325,486,27
0,41,41,41,439,517,17
0,26,26,26,404,517,17
0,44,44,44,302,506,15
0,106,106,106,276,489,20
0,67,67,67,274,483,20
0,87,87,87,228,494,20
0,53,53,53,228,521,21
0,59,59,59,272,519,21
0,36,36,36,269,531,21
0,39,39,39,282,529,21
0,74,74,74,310,529,21
0,43,43,43,329,541,21
0,55,55,55,346,547,21
0,64,64,64,354,536,21
0,54,54,54,377,541,21
0,62,62,62,369,528,21
0,64,64,64,381,531,21
0,71,71,71,375,522,19
0,64,64,64,329,473,20
0,47,47,47,310,491,20
0,38,38,38,237,549,20
0,62,62,62,437,525,31
0,99,99,99,386,528,28
0,41,41,41,445,507,32
0,96,96,96,251,492,30
0,45,45,45,489,524,29
0,58,58,58,447,539,25
0,43,43,43,463,546,25
0,96,96,96,184,533,27
0,96,96,96,145,532,25
0,91,91,91,397,517,31
0,48,48,48,153,506,26
0,98,98,98,136,463,20
0,63,63,63,140,487,19
0,102,102,102,143,557,19
0,93,93,93,184,543,19
0,35,35,35,138,527,19
0,31,31,31,165,529,19
0,64,64,64,39,487,17
0,92,92,92,91,553,17
0,68,68,68,55,492,16
