,X,Y,Z
1,8.0,492.0,0
2,10.6988,490.0609,0
3,13.7998,488.2364,0
4,17.2841,486.521,0
5,21.1326,484.9093,0
6,25.3262,483.3957,0
7,29.8458,481.9747,0
8,34.6724,480.6407,0
9,39.7869,479.3883,0
10,45.1703,478.212,0
11,50.8034,477.1062,0
12,56.6672,476.0654,0
13,62.7427,475.084,0
14,69.0107,474.1567,0
15,75.4522,473.2779,0
16,82.0482,472.442,0
17,88.7795,471.6435,0
18,95.6272,470.8769,0
19,102.572,470.1367,0
20,109.5951,469.4174,0
21,116.6772,468.7135,0
22,123.7994,468.0194,0
23,130.9454,467.3304,0
24,138.1115,466.6449,0
25,145.2973,465.9622,0
26,152.5026,465.2815,0
27,159.7269,464.6023,0
28,166.9699,463.9236,0
29,174.2313,463.245,0
30,181.5107,462.5657,0
31,188.8078,461.8849,0
32,196.1222,461.2019,0
33,203.4536,460.5161,0
34,210.8017,459.8267,0
35,218.166,459.1331,0
36,225.5462,458.4344,0
37,232.9421,457.7301,0
38,240.3532,457.0195,0
39,247.7793,456.3017,0
40,255.2199,455.5761,0
41,262.6747,454.8421,0
42,270.1434,454.0988,0
43,277.6256,453.3457,0
44,285.121,452.5819,0
45,292.6292,451.8068,0
46,300.1499,451.0197,0
47,307.6828,450.2198,0
48,315.2274,449.4066,0
49,322.7835,448.5791,0
50,330.3507,447.7369,0
51,337.9282,446.8799,0
52,345.5145,446.0097,0
53,353.108,445.1278,0
54,360.7072,444.2358,0
55,368.3103,443.3354,0
56,375.9159,442.4281,0
57,383.5224,441.5155,0
58,391.1281,440.5992,0
59,398.7315,439.6807,0
60,406.3311,438.7618,0
61,413.9251,437.8439,0
62,421.5121,436.9286,0
63,429.0904,436.0176,0
64,436.6585,435.1124,0
65,444.2148,434.2147,0
66,451.7576,433.3259,0
67,459.2855,432.4477,0
68,466.7968,431.5818,0
69,474.2899,430.7296,0
70,481.7633,429.8928,0
71,489.2153,429.0729,0
72,496.6444,428.2716,0
73,504.049,427.4904,0
74,511.4275,426.731,0
75,518.7783,425.9949,0
76,526.0999,425.2837,0
77,533.3906,424.599,0
78,540.6489,423.9424,0
79,547.8744,423.3148,0
80,555.0706,422.7149,0
81,562.2419,422.1413,0
82,569.3926,421.5923,0
83,576.5267,421.0664,0
84,583.6487,420.562,0
85,590.7629,420.0773,0
86,597.8734,419.611,0
87,604.9845,419.1614,0
88,612.1005,418.7268,0
89,619.2258,418.3058,0
90,626.3644,417.8967,0
91,633.5207,417.4979,0
92,640.699,417.1079,0
93,647.9036,416.725,0
94,655.1386,416.3477,0
95,662.4084,415.9744,0
96,669.7173,415.6035,0
97,677.0695,415.2334,0
98,684.4692,414.8625,0
99,691.9208,414.4892,0
100,699.4285,414.112,0
101,706.9965,413.7292,0
102,714.6292,413.3393,0
103,722.3308,412.9407,0
104,730.1055,412.5317,0
105,737.9578,412.1109,0
106,745.8912,411.6767,0
107,753.9053,411.2288,0
108,761.9974,410.7675,0
109,770.1647,410.293,0
110,778.4044,409.8057,0
111,786.7137,409.3058,0
112,795.0899,408.7936,0
113,803.5301,408.2694,0
114,812.0316,407.7334,0
115,820.5915,407.1859,0
116,829.2072,406.6273,0
117,837.8757,406.0577,0
118,846.5945,405.4774,0
119,855.3605,404.8868,0
120,864.1712,404.2862,0
121,873.0237,403.6756,0
122,881.9152,403.0556,0
123,890.8428,402.4263,0
124,899.804,401.788,0
125,908.7958,401.141,0
126,917.8156,400.4855,0
127,926.8604,399.8219,0
128,935.9275,399.1505,0
